State,IncomeTaxRate
Alabama,5.00
Alaska,0.00
Arizona,4.50
Arkansas,6.90
California,13.30
Colorado,4.55
Connecticut,6.99
Delaware,6.60
Florida,0.00
Georgia,5.75
Hawaii,11.00
Idaho,6.93
Illinois,4.95
Indiana,3.23
Iowa,8.53
Kansas,5.70
Kentucky,5.00
Louisiana,6.00
Maine,7.15
Maryland,8.95
Massachusetts,5.00
Michigan,4.25
Minnesota,9.85
Mississippi,5.00
Missouri,5.40
Montana,6.90
Nebraska,6.84
Nevada,0.00
New Hampshire,5.00
New Jersey,10.75
New Mexico,5.90
New York,10.90
North Carolina,5.25
North Dakota,2.90
Ohio,4.80
Oklahoma,5.00
Oregon,9.90
Pennsylvania,3.07
Rhode Island,5.99
South Carolina,7.00
South Dakota,0.00
Tennessee,0.00
Texas,0.00
Utah,4.95
Vermont,8.75
Virginia,5.75
Washington,0.00
West Virginia,6.50
Wisconsin,7.65
Wyoming,0.00
